f152 Абрикос,f707 Алыча красная,f237 Айва,f72 Ананас,,f180 Карп,f714 Кета,f719 Кефаль,f292 Крабы,,,f15 Фасоль белая,f224 Свекла,s10 Базилик,f612 Зеленый горошек (консервированный)
f705 Алыча желтая,f33 Апельсин,f87 Арбуз,f29 Банан,,f24 Креветки,f715 Лемонема,f720 Лещ,f41 Лосось,,,f100 Салат-латук,f132 Фасоль стручковая (лобио),f137 Спаржа NEW,
f700 Белая смородина,f182 Брусника,f358 Вишня,f50 Виноград белый,,f37 Мидии,f716 Минтай,f721 Мойва,f56 Окунь морской,,,f784 Гидролизат говяжьего белка (говяжий протеин),f785 Изолят соевого белка (соевый протеин),f782 Концентрат молочного белка (мицеллярный казеин),f783 Концентрат сывороточного белка (сывороточный протеин)
f509 Виноград красный,f203 Гранат,f92 Грейпфрут,f30 Груша,,f196 Палтус,f780 Сазан речной,f722 Сайра,f21 Сельдь,,,,,,
f300 Дыня,f145 Инжир,f708 Ирга,f749 Калина,,f741 Семга,f174 Скумбрия,f242 Сом,f723 Ставрида,,,f786 Сухой яичный белок (яичный протеин),,,
f766 Кизил,f44 Клубника,f702 Клюква,f171 Красная смородина,,f247 Судак,f3 Треска,f40 Тунец,f22 Форель,,,f739 Брынза коровья,f742 Брынза овечья,f250 Йогурт,f78 Bos d8 Казеин NEW
f235 Крыжовник,f259 Лайм,f32 Лимон,f156 Малина,,f354 Хек,f718 Щука,f724 Морской гребешок,f157 Навага,,,f319 Кефир,f743 Майонез,f219 Молоко козье,f2 Молоко коровье цельное
f91 Манго,f34 Мандарин,s21 Можжевельник,f704 Облепиха,,f712 Осьминог,f178 Пикша,f726 Раки,f725 Осетр,,,f168 Молоко сухое,f744 Сметана,f736 Сыр голландский,f746 Творог
f709 Помело,f53 Персик,f703 Рябина черноплодная,f148 Слива,,f560 Окунь речной,f745 Тилапия,f55 Угорь,f177 Устрицы,,,f737 Молочные сливки сухие,f769 Молоко топленое,f169 Молоко коровье кипяченое,f738 Сыр моцарелла
f706 Тутовник,f710 Фейхоа,f248 Финики,f286 Хурма,,f80 Лобстер (омар),f160 Сардина,,,,,f740 Ряженка,f76 Bos d4 Альфа- лактоальбумин NEW,f77 Bos d5 Бета- лактоглобулин NEW,f70 Сыр швейцарский
f212 Черная смородина,f229 Черника,f281 Шиповник,f49 Яблоко,,f131 Авокадо,f176 Баклажан,f734 Бобы,f12 Горох,,,f787 Молочная сыворотка,f81 Сыр чеддер,,
f730 Черешня жёлтая,f73 Черешня красная,f175 Ежевика,f84 Киви,,f751 Кабачки,f39 Капуста белокочанная,f134 Капуста брокколи,f108 Капуста брюссельская,,,f13 Арахис,f16 Грецкий орех,f197 Кедровый орех,f158 Кешью
f778 Плоды черемухи,f779 Голубика,rf491 Mal d1 Яблоко мажорный аллерген NEW,rf493 Mal d3 Яблоко минорный аллерген NEW,,f728 Капуста квашеная,f208 Капуста китайская,f102 Капуста кольраби,f185 Капуста краснокочанная,,,f36 Кокос,f20 Миндаль,f114 Семена подсолнечника,f144 Фисташки
f711 Горбуша,f323 Икра красная,f161 Кальмары,f186 Камбала,,f729 Капуста морская,f61 Капуста цветная,f35 Картофель,f717 Кинза,,,f17 Фундук,s5 Мускатный орех,f713 Арахис жареный,f98 Семена льна
,,,,,f48 Лук репчатый,f731 Лук зеленый,f66 Лук порей,f31 Морковь,,,nf131 Ara h1 Арахис мажорный аллерген NEW,,,
f97 Какао,f147 Каркаде,f759 Кока-кола,f95 Кофе молотый,,f133 Огурец,f122 Оливки,f546 Перец болгарский зеленый,f86 Петрушка,,,f88 Баранина,f1 Белок куриного яйца нативный,f27 Говядина,f58 Мясо гуся
f795 Кофе растворимый,f758 Фанта,f266 Чай зеленый листовой,f99 Чай черный байховый,,f214 Редис,f732 Репа,f733 Салат,f85 Сельдерей,,,f75 Желток куриного яйца нативный,f757 Животный белок,f130 Мясо индейки,f756 Колбаса вареная
f52 Шоколад,,,,,f14 Соя,f25 Томат,f191 Тыква,s11 Укроп,,,f754 Колбаса копченая,f167 Мясо кролика,f83 Мясо курицы,f755 Мясо нутрии
f760 Заменитель сахара (сорбит),f277 Мед,f762 Сахар,f763 Сахар тростниковый (темный),,f47 Чеснок,f65 Чечевица,f38 Шпинат,f42 Щавель,,,f241 Печень говяжья,f26 Свинина,f57 Мясо утки,f252 Яйцо куриное цельное нативное
f761 Фруктоза,f788 Стевия,,,,f239 Редька зеленая,f206 Фасоль красная,f151 Цукини,f46 Перец болгарский красный,,,f748 Яичный порошок,f184 Конина,f192 Перепелиное мясо,f165 Телятина
f765 Масло оливковое,f767 Масло подсолнечное,f768 Масло сливочное,f764 Масло кукурузное,,,,,,,,f753 Яйцо перепелиное нативное,f701 Белок куриного яйца вареный,f750 Желток куриного яйца вареный,f752 Яйцо куриное цельное вареное
f11 Гречневая крупа,f74 Кукурузная крупа,f321 Овсяная крупа,f735 Перловая крупа,,s8 Корица,f253 Корень хрена,f126 Мята,f774 Шафран,,,f747 Яйцо перепелиное вареное,f68 Gal d1 Овомукоид NEW,,
f4 Пшеничная мука,f140 Пшенная крупа,f5 Ржаная мука,f9 Рисовая крупа,,f10 Кунжут,f155 Ванилин,s13 Тимьян,f225 Глутамат натрия,,,,,,
f6 Ячменная крупа,f521 Овсяные хлопья,f210 Пшеничная крупа,f781 Маш (фасоль),,e201 Bos d6 Бычий сывороточный альбумин NEW,s775 Кора дуба,s32 Перец душистый NEW,,,,,,,
f159 Нут (турецкий горох),f789 Киноа,f790 Смесь бурого и дикого риса,,,f777 Нутрилак с пребиотиками,f776 Нутрилак безлактозный,f775 Каша гречневая Heinz,,,,,,,
f302 Вешенки,f770 Опята,f127 Шампиньоны,,,,,,,,,,,,
f771 Фосфат-олбрайт,s16 Гвоздика,f79 Глютен (клейковина),f89 Горчица,,,,,,,,,,,
f45 Дрожжи пекарские,f772 Индигокармин,s17 Кориандр,f238 Крахмал,,,,,,,,,,,
s4 Лавровый лист,f128 Мак пищевой,s29 Перец красный острый,f43 Пивные дрожжи,,,,,,,,,,,
Sx1 Смесь специй,Ko4 Сорбиновая кислота,c112 Тартразин,s3 Тмин,,,,,,,,,,,
s7 Перец черный горошек,s2 Карри,s25 Имбирь,f773 Листья малины,,,,,,,,,,,
